full_text
Antv udah bener gini aja ketimbang nayangin film-film prindavan mending nayangin horror Indonesia jaman sd 2010 an kebawah #Terowonganrumahsakit
Film horror Indonesia makin keren sihh https://t.co/R10ie6mGqP
Menurut gue kalau indonesia mau bikin ini sbg film akan kurang deh, soalnya ini kan cerita pendek. Kecuali kalau dibikin kaya series kumpulan cerita horro dalam 1 episode selama beberapa season kayak American Horror Stories.  Di indo kan banyak tuh cerita horror
Orang Indonesia bilangnya bosen film horror atau romance tapi dikasih film selain dua genre itu gak mau nonton.
@dreamyvv Banget. Salah satu film horror indonesia yang paling diminati. Siccin itu film horror darimana ya ?
@RoewaRupa ㅤㅤ  Bener! Aduh, paling enggak bisa deh aku.  Dengan latar siang dan tetep lebih banyak meremnya daripada nontonnya? Eh! Ngomong-ngomong, mbak lebih suka nonton film horror Indonesia atau luar negeri nih?  ㅤㅤ
Seperti film-film horror indonesia biasanya. Kamera menjauh dari mobil menunjukkan pemandangan jalan dan hutan yang kian mengecil. Lalu gelap.
Perasaan gue aja atau emang industri per fileman Indonesia baru di kerubungi film horror???  Sebagai pecinta horror dompet gua ga aman :')
Kenapa Indonesia sering bikin film Horror?
@recehtapisayng Udah masuk film horror indonesia nih tempatnya
jangan lewatkan filmnya, tonton selengkapnya di https://t.co/N7OlCa0UNx Film Horror Indonesia Terbaru 2023 Full Movie https://t.co/WJqaHiL903
@HitMakeStudios Kenap sih setiap film horror indonesia selalu ada aja adegan lg sholat trus diganggu setan.. template bgt
Film horror dari Turki yang lumayan bikin bergidik kini diadaptasi oleh Indonesia.  Dengan judul yang hampir sama, apakah Sijjin bisa membawa kengerian yang sama juga?  Sijjin, hadir di bioskop 9 November. https://t.co/ETKlZnXFP1
Kayaknya film horror Indonesia sekarang gak afdol ya kalo nggak bawa adegan sholat terus muncul hantunya.
waalaikumsalam, BARU TAU KUNCUNG GITU PANJANGANNYA! gue suka film horror indonesia belakangan ini, karna kaya makin bagus gitu kualitasnya dibanding dulu
akhirnya menemukan orang yang mengerti kalo nonton film horror indonesia tuh lebih serem soalnya asalnya dari indonesia, satu kampung halaman loh??? 😭
@zueno_ Eh, kemarin aku juga abis nonton film horror Indonesia, tapi aku lupa judulnya apa.. Ratu.. Ilmu.. ?? Lupa.
tp yah mmg jauh lebih bagus drpd film horror indonesia lainnya yg kea,, hngh aneh freaky gitu
Best Indonesia movie this year, udah lama gak nonton film Indonesia yang bagus DAN BUKAN HORROR.   terakhir tuh tahun 2015 ke bawah kayaknya yg se wow banget pesannya rating 9/10 .
"knp sih film horror indonesia judulnya tuh harus ada embel iblisnya hadeuh"""
kenapa film indonesia horror mulu?
"3 HARI LAGI filem Jin Qorin akan ditayangkan di pawagam Malaysia!  Ketika Maut Tak Boleh Memisahkan!""  #RAPictures #ShenEntertainment #Maxstream #Telkomsel #JinQorin #FilmJinQorin #FilmNasional #FilmBioskop #FilmHorrorIndonesia #filmIndonesia2023 #AntennaEntertainments https://t.co/aubjlWkN0b"""
insha'Allah next year,   1. lagu ciptaan aina abdul untuk ost film horror indonesia dah siap.  2. Lagu duet bersama Fabio Usher ciptaan melly goeslow. Settle!  Nantikan. Jijik?  💅🏻
2010 keatas film Indonesia udah mulai diangkat padahal dari film-film horror komedi. Skrng balik lagi aja ke horror.
@moviemenfes kalo pengen nonton film Indonesia yg bagus dan bukan genre horror, ayoo nonton BUDI PEKERTI nder!! Udah rilis dari tanggal 2 november. Ga bakal nyesel tau nonton ini https://t.co/rnCMV59up3
Boring juga yah. Makin sini, film-film horror Indonesia kebanyakan bercerita tentang sekte/pemujaan iblis 😂
"@arinaristia susah sih kalau sebuah film/series dibebankan tanggung jawab moral, industri nya akan stuck disitu-situ aja, dan netizen selalu koar bosan film  indonesia horror terus,dan akhirnya setelah diberikan tontonan yang bagus malah gini😅, memang agak kurang pas menaruh age rate 13+ https://t.co/I5MpuAhGpM"""
ya gmn series/film indonesia mau maju, bawa topik berat dikit responnya begini 😅 emang paling bener bikin film horror &amp  azab aja, atau nggak perselingkuhan dijamin rame.
@tanyakanrl Film indonesia kan emg horror semua nder. Bulan ini ada 4 film horror loh 🙂
@cimotyy film horror indonesia terbaru nih.. wah fix nonton #MisteriPanggonanWingit
Di era gempuran film horror, Akhirnya Indonesia bikin film tokusatsu, jangan sampe kelewatan buat lihat film BARDION   #BARDION
nih yang kmrn berisik film horror indonesia dari perspektif Kriz10
Kalau film horror Indonesia suka gak teh?
Official Trailer filem Jin Qorin  Ketika maut tak boleh memisahkan!  JIN QORIN akan ditayangkan di pawagam Malaysia pada 9 November 2023.  #JinQorin #FilmJinQorin #FilmNasional #FilmBioskop #FilmHorrorIndonesia #filmIndonesia2023 #Pawagam #Malaysia #AntennaEntertainments https://t.co/HM9Y4BCKCF
calon lokasi syuting film horror indonesia “hantu jembatan kaca” (based on true story)
@moviemenfes Film horror indonesia sih paling juara 😭 mungkin karna hantunya lokal jd serem
The best Film Indonesia horror yg pertama aq nonton... Seram banget dan menegangkan... Biarpun aktor dan aktrisnya biasa tapi filmya luar biasa.. Pokoknya joss... Paduan dayak banjarmasin,, best lah..🥰🙏😘 https://t.co/ofyoNTdAAz
film horror indonesia ni kenapa ya anjg bikin org emosi
"Misteri JIN QORIN akan terlerai 7 hari lagi!  JIN QORIN akan ditayangkan di pawagam Malaysia pada 9 November 2023.  Ketika Maut Tak Boleh Memisahkan!""  #JinQorin #FilmJinQorin #FilmHorrorIndonesia #filmIndonesia2023 #Pawagam #Malaysia #AntennaEntertainments https://t.co/eGyQ5eAaLX"""
@K3FilmSpace Masih mencoba nonton film indonesia bertema horror dan Alhamdulillah mulai suka
